date,ticker,price
2024-01-01,TSLA,149.05722827782998
2024-01-02,TSLA,149.63753509507887
2024-01-03,TSLA,150.19115842931626
2024-01-04,TSLA,150.19728655611644
2024-01-05,TSLA,150.31212485555625
2024-01-06,TSLA,150.61142638312197
2024-01-07,TSLA,150.49708053464602
2024-01-08,TSLA,149.50065454006472
2024-01-09,TSLA,150.99191878097426
2024-01-10,TSLA,149.14988273891728
2024-01-11,TSLA,148.6489063424725
2024-01-12,TSLA,149.36809919547056
2024-01-13,TSLA,148.1146747597537
2024-01-14,TSLA,146.20262269726314
2024-01-15,TSLA,147.4285334212962
2024-01-16,TSLA,146.36360572916087
2024-01-17,TSLA,145.36759706473197
2024-01-18,TSLA,144.4725166950631
2024-01-19,TSLA,145.26499548906267
2024-01-20,TSLA,144.03724214108675
2024-01-21,TSLA,143.91989419195792
2024-01-22,TSLA,144.08343587514392
2024-01-23,TSLA,145.2245772643201
2024-01-24,TSLA,145.10436972363993
2024-01-25,TSLA,144.4983722415145
2024-01-26,TSLA,145.6262895536171
2024-01-27,TSLA,144.7368993829495
2024-01-28,TSLA,145.9739853872047
2024-01-29,TSLA,146.24748306754157
2024-01-30,TSLA,147.66557472363428
2024-01-31,TSLA,148.6420068127133
2024-02-01,TSLA,149.67927405789993
2024-02-02,TSLA,149.40721422849808
2024-02-03,TSLA,148.2884010705635
2024-02-04,TSLA,148.62736636607582
2024-02-05,TSLA,149.9703345498714
2024-02-06,TSLA,148.94151973813757
2024-02-07,TSLA,147.7803320025929
2024-02-08,TSLA,149.1484215212118
2024-02-09,TSLA,147.30755368086736
