id,age,salary,department,rating,city,bonus_pct
1,0.8260869565217391,0.5867040403814799,IT,0.6666666666666666,SF,0.8800000000000001
2,0.6086956521739131,0.5510240546758091,IT,0.1994949494949495,Illinois,0.24
3,0.30434782608695654,0.557434167913698,IT,0.28787878787878785,SF,0.9200000000000002
4,0.9130434782608695,0.24895584392379336,Finance,0.8989898989898989,SF,0.08000000000000002
5,0.15217391304347827,0.49429901949835836,Finance,,Illinois,0.9200000000000002
6,0.43478260869565216,0.6284702834297456,IT,0.0782828282828283,Chicago,0.36000000000000004
7,0.8260869565217391,0.34217050454514997,Marketing,0.20202020202020204,New York,0.12
8,0.391304347826087,0.7809282380005808,HR,0.02020202020202022,Austin,0.48000000000000004
9,0.4782608695652174,0.49429901949835836,HR,,LA,0.24
10,0.5434782608695652,0.1669979675250709,Marketing,0.5808080808080808,Austin,0.27999999999999997
11,0.21739130434782608,0.49429901949835836,IT,0.41919191919191917,Austin,
12,0.5,0.8906148795032721,Finance,0.8939393939393939,New Jersey,0.8
13,0.7608695652173914,0.21356621177942064,HR,0.818181818181818,New York,0.52
14,0.8478260869565217,0.49429901949835836,Sales,0.3383838383838384,New Jersey,0.32
15,0.5434782608695652,0.5400911263484689,Sales,,New York,0.6000000000000001
16,0.043478260869565216,0.968865164273111,Marketing,0.37626262626262624,Illinois,0.72
17,0.45652173913043476,0.969903736626985,IT,0.5883838383838385,Illinois,0.27999999999999997
18,0.5434782608695652,0.5989882295133228,HR,0.2626262626262626,New York,
19,0.5,0.7373640363611998,IT,0.6237373737373737,SF,0.12
20,0.9347826086956522,0.49429901949835836,HR,,Chicago,0.2
21,0.6304347826086957,0.6230875751010654,Marketing,0.5505050505050504,SF,
22,0.8043478260869565,0.35410850289236817,Marketing,0.4318181818181819,Chicago,0.2
23,0.021739130434782608,0.7738369106381078,Sales,0.29040404040404044,New Jersey,0.52
24,0.43478260869565216,0.49429901949835836,IT,0.9494949494949495,Chicago,0.72
25,0.6956521739130435,0.49429901949835836,Sales,0.7626262626262625,New Jersey,0.12
26,0.2391304347826087,0.8066356956201282,IT,,Illinois,
